Strain,tokens
Sweet-Tooth,"['sweet', 'tooth', 'indica', 'relaxed', 'happy', 'euphoric', 'uplifted', 'sleepy', 'sweet', 'flowery', 'berry', 'sweet', 'tooth', 'awarded', '1st', 'place', 'high', 'times', 'cannabis', 'cup', '2001', 'guess', 'sweet', 'flowers', 'berries', 'accompanies', 'potent', 'colas', 'balanced', 'hybrid', 'candy', 'coated', 'trichomes', 'providing', 'uplifted', 'euphoric', 'great', 'combating', 'stress', 'headaches', 'barney', 'farm', 'sweet', 'tooth', 'genetics', 'sprout', 'mixing', 'landrace', 'afghanistan', 'hawaii', 'nepal']"
Sweet-And-Sour-Widow,"['sweet', 'sour', 'widow', 'indica', 'relaxed', 'uplifted', 'happy', 'focused', 'sleepy', 'earthy', 'sweet', 'woody', 'cbd', 'crew', 'sweet', 'sour', 'widow', '70/30', 'indica', 'dominant', 'cannabis', '1:1', 'cbd', 'thc', 'ratio', 'subtle', 'sweet', 'onion', 'aroma', 'balanced', 'cannabinoid', 'profile', 'sweet', 'sour', 'widow', 'psychoactive', 'mild', 'suitable', 'novice', 'consumers', 'patients', 'needing', 'medicate', 'foggy', 'head', 'sweet', 'sour', 'widow', 'derived', 'white', 'widow', 'genetics', 'unnamed', 'sativa', 'hybrid', 'accentuate', 'cbd', 'profile']"
Swiss-Bliss,"['swiss', 'bliss', 'hybrid', 'euphoric', 'happy', 'talkative', 'creative', 'giggly', 'sweet', 'citrus', 'earthy', 'swiss', 'bliss', 'infamous', 'history', 'plants', 'descended', 'swiss', 'sativa', 'plant', 'seized', 'gendarme', 'eventually', 'given', 'asylum', 'holland', 'paradise', 'plant', 'hybridized', 'create', 'sativa', 'hybrid', 'known', 'swiss', 'bliss', 'plants', 'hardy', 'growers', 'best', 'indoors', 'flower', '9', 'weeks', 'space', 'concern', 'known', 'abundant', 'branching', 'given', 'space', 'high', 'yields', 'flowers', 'usually', 'abundance', 'frosty', 'crystals', 'aroma', 'sour', 'fruit']"
Swiss-Gold,"['swiss', 'gold', 'sativa', 'relaxed', 'happy', 'focused', 'uplifted', 'hungry', 'diesel', 'citrus', 'berry', 'swiss', 'gold', 'high', 'cbd', 'northern', 'california', 'typically', 'classified', 'sativa', 'late', 'lawrence', 'ringo', 'ringo', 'describes', 'structure', 'pure', 'indica', 'short', 'fat', 'swiss', 'gold', 'regularly', 'tests', 'cbd', 'thc', 'ratios', '2:1', 'carries', 'earthy', 'aroma', 'fresh', 'citrus', 'relaxing', 'reduce', 'pain', 'stress', 'stimulating', 'appetite', 'eventually', 'cradle', 'sleep']"
Swiss,"['swiss', 'indica', 'energetic', 'creative', 'relaxed', 'happy', 'uplifted', 'pungent', 'ammonia', 'berry', 'swiss', 'indica', 'grows', 'natively', 'region', 'switzerland', 'indigenous', 'vareities', 'called', 'landraces', 'exhibit', 'indica', 'sativa', 'characteristics', 'depending', 'climate', 'latitude', 'grows']"
Swiss-Sativa,"['swiss', 'sativa', 'sativa', 'swiss', 'sativa', 'grows', 'natively', 'region', 'switzerland', 'indigenous', 'vareities', 'called', 'landraces', 'exhibit', 'indica', 'sativa', 'characteristics', 'depending', 'climate', 'latitude', 'grows']"
Swiss-Tsunami,"['swiss', 'tsunami', 'sativa', 'relaxed', 'uplifted', 'focused', 'happy', 'sleepy', 'earthy', 'citrus', 'orange', 'swiss', 'tsunami', 'rare', 'cbd', 'rich', 'pungent', 'genetic', 'cross', 'swiss', 'gold', 'sour', 'tsunami', 'swiss', 'tsu', 'potent', 'pairing', 'generate', '14', 'cbd', '0', '5', 'thc', 'average', 'reeking', 'skunky', 'herbaceous', 'terpenes', 'having', 'bright', 'delicate', 'orange', 'peel', 'exhale', 'swiss', 'tsunami', 'connoisseur', 'cbd', 'cut', 'league', 'enjoy', 'help', 'relieve', 'inflammation', 'nausea', 'anxiety']"
Thc-Bomb,"['thc', 'bomb', 'hybrid', 'relaxed', 'happy', 'giggly', 'uplifted', 'hungry', 'earthy', 'pungent', 'sweet', 'thc', 'bomb', 'signature', 'hybrid', 'bomb', 'indicates', 'developed', 'high', 'thc', 'levels', 'upwards', '20', 'bomb', 'completely', 'knock', 'feet', 'thanks', 'rounded', 'hybrid', 'mix', 'thc', 'bomb', 'grown', 'indoors', 'plants', 'shorter', 'hardy', 'mature', '7', '9', 'weeks', 'large', 'yields', 'flowers', 'large', 'covering', 'bright', 'orange', 'hairs']"
Tjs-Cbd,"['tjs', 'cbd', 'hybrid', 'focused', 'uplifted', 'creative', 'talkative', 'energetic', 'woody', 'earthy', 'pungent', 'tj', 'cbd', 'high', 'cbd', 'tj', 'organic', 'garden', 'washington', 'state', 'subtle', 'mellow', 'profile', 'led', 'skunky', 'aroma', 'sense', 'calm', 'physical', 'relaxation', 'clouding', 'mind', 'variety', 'took', 'prize', 'best', 'high', 'cbd', 'flower', '2015', 'oregon', 'dope', 'cup']"
Tahoe-Alien,"['tahoe', 'alien', 'hybrid', 'relaxed', 'happy', 'hungry', 'creative', 'euphoric', 'pine', 'diesel', 'skunk', 'tahoe', 'alien', '60/40', 'indica', 'dominant', 'hybrid', 'alien', 'genetics', 'carry', 'straight', 'cosmos', 'combining', 'tahoe', 'og', 'kush', 'alien', 'kush', 'phenotype', 'inherits', 'subtle', 'earthy', 'aroma', 'notes', 'lemon', 'pine', 'celestial', 'shines', 'potency', 'prepare', 'body', 'abduction', 'leaves', 'stress', 'pain', 'insomnia', 'nausea', 'tahoe', 'alien', 'mature', 'early', '56', 'days', '9', 'flowering', 'time', 'recommended', 'additional', 'density', 'sedative']"
Tahoe-Frostbite,"['tahoe', 'frostbite', 'hybrid', 'aroused', 'talkative', 'euphoric', 'happy', 'relaxed', 'tahoe', 'frostbite', 'tiller', 'natural', 'balanced', 'hybrid', 'sweet', 'aromas', 'lanky', 'growth', 'tall', 'cross', 'tahoe', 'og', 'frostbite', 'fluffy', 'dark', 'sporadic', 'purple', 'foliage', 'bright', 'orange', 'hairs', 'tahoe', 'frostbite', 'herbal', 'sweet', 'mint', 'undertone', 'consumers', 'pleasant', 'physical', 'known', 'express', 'heady', 'pressure', 'similar', 'headband']"
Tahoe-Hydro-Champagne,"['tahoe', 'hydro', 'champagne', 'hybrid', 'energetic', 'happy', 'talkative', 'tingly', 'uplifted', 'sweet', 'citrus', 'lime', 'tahoe', 'hydro', 'champagne', 'complex', 'sativa', 'dominant', 'hybrid', 'challenges', 'palate', 'going', 'easy', 'body', 'refined', 'melange', 'fruit', 'cheese', 'floral', 'undertones', 'opens', 'aged', 'spirits', 'caresses', 'body', 'soothing', 'ideal', 'social', 'gatherings', 'lending', 'conversational', 'clarity', 'mind', 'comforting', 'relaxation', 'body', 'tahoe', 'hydro', 'champagne', 'jesus', 'og', 'phenotype', 'cultivated', 'tahoe', 'hydroponic', 'company']"
Tahoe-Hydro-Og,"['tahoe', 'hydro', 'og', 'hybrid', 'euphoric', 'relaxed', 'tingly', 'happy', 'sleepy', 'pungent', 'earthy', 'pine', 'tahoe', 'hydro', 'og', 'tahoe', 'hydroponic', 'company', 'won', '2016', 'jack', 'herer', 'cup', 'best', 'indica', 'flower', 'rich', 'cross', 'tahoe', 'og', 'og', '18', 'distinct', 'aroma', 'lemon', 'fuel', 'complex', 'earthy', 'notes', 'exhale', 'ideal', 'hours', 'saddling', 'consumer', 'heavy', 'limbs', 'deep', 'relaxation', 'potent', 'indica', 'tahoe', 'hydro', 'og', 'works', 'wonders', 'chronic', 'pain', 'nausea', 'restlessness']"
Tahoe-Og,"['tahoe', 'og', 'hybrid', 'relaxed', 'sleepy', 'happy', 'euphoric', 'hungry', 'earthy', 'pine', 'citrus', 'tahoe', 'og', 'perfect', 'rainy', 'day', 'strong', 'fast', 'acting', 'want', 'use', '-pron-', 'planning', 'leave', 'house', 'great', 'suffering', 'insomnia', 'pain', 'lack', 'appetite', 'tahoe', 'og', 'indicas', 'nighttime', 'provides', 'extremely', 'lazy', 'heavy', 'body', 'sensation', 'superb', 'breeding', 'tahoe', 'og', 'embodies', 'typical', 'indica', 'added', 'euphoric', 'sativa', 'kick', 'features', 'earthy', 'lemon', 'taste', 'phenotype', 'og', 'kush', 'maturing', '10', 'weeks', 'tahoe', 'og', 'try', 'looking', 'great', 'night', 'sleep']"
Tahoe-Purps,"['tahoe', 'purps', 'indica', 'sleepy', 'creative', 'hungry', 'relaxed', 'citrus', 'earthy', 'woody', 'tahoe', 'hydro', 'award', 'winning', 'tricks', 'tahoe', 'purps', 'created', 'combining', 'tahoe', 'hydro', 'og', 'wise', 'elderly', 'indica', 'grandaddy', 'purple', 'tahoe', 'purps', 'sedative', 'body', 'melting', 'insulates', 'consumer', 'inside', 'relaxing', 'carefree', 'aura', 'indica', 'dominant', 'creates', 'tight', 'nuggets', 'speckled', 'purple', 'trichomes', 'unlike', 'older', 'grapey', 'parentage', 'tahoe', 'purps', 'retains', 'strong', 'citrus', 'aroma', 'reminiscent', 'og', 'genetics', 'limonene', 'terpenes', 'juxtaposed', 'earthy', 'floral', 'undertones', 'speak', 'strong', 'og', 'background']"
Taliban-Poison,"['taliban', 'poison', 'indica', 'hungry', 'aroused', 'sleepy', 'giggly', 'happy', 'diesel', 'skunk', 'pine']"
Tangelo,"['tangelo', 'hybrid', 'euphoric', 'happy', 'uplifted', 'energetic', 'focused', 'citrus', 'sweet', 'earthy', 'tangelo', 'confused', 'tangelo', 'kush', 'sour', 'citrus', 'offspring', 'tangerine', 'sunrise', 'gorkle', 'fork', 'x', 'rebel', 'god', 'smoke', 'obvious', 'notes', 'tropical', 'fruit', 'unmistakable', 'tangerine', 'orange', 'juice', 'aroma', 'tangelo', 'bright', 'pleasurable', 'aromas', 'worth', 'sharing', 'useful', 'consumers', 'seeking', 'nullify', 'stress', 'fatigue', 'remaining', 'fairly', 'focused', 'task', 'hand', 'lovingly', 'handcraft', 'colorado', 'inc', 'enjoy', 'tangelo', 'physical', 'mental', 'enhancement', 'daytime', 'maximize', 'stimulation']"
Tangelo-Kush,"['tangelo', 'kush', 'hybrid', 'relaxed', 'sleepy', 'giggly', 'talkative', 'uplifted', 'peach', 'lemon', 'citrus', 'tangelo', 'hybrid', 'fruit', 'crosses', 'sweetness', 'tangerine', 'size', 'tartness', 'pomelo', 'grapefruit', 'makes', 'sense', 'tangelo', 'kush', 'tangy', 'citrus', 'hybrid', 'cannabis', 'equivalent', 'chemdawg', 'bermese', 'kush', 'unique', 'flavorful', 'properties', 'turn', 'tangelo', 'kush', 'delicious', 'mixture', 'skunky', 'sour', 'citrus', 'zest', 'emphasizes', 'potency', 'ground', 'shake', 'diesel', 'lemon', 'musk', 'intensified', 'smoke', 'sweet', 'mix', 'sour', 'earthy', 'notes', 'exhaled', 'tangelo', 'kush', 'straight', 'head', 'provide', 'relaxing', 'solution', 'anxiety', 'depression', 'great', 'way', 'stimulate', 'appetite']"
Tangenesia,"['tangenesia', 'hybrid', 'tangenesia', 'heady', 'crafted', 'headier', 'parent', 'tangerine', 'haze', 'ghiesel', 'amnesia', 'haze', 'rare', 'gathering', 'sweet', 'sativa', 'dominant', 'elements', 'cerebral', 'clarity', 'cloaked', 'hazy', 'aura', 'ideal', 'zoning', 'repetitive', 'tasks', 'binge', 'watching', 'television', 'aroma', 'fruit', 'herbs', 'pleasant', 'sweetness', 'exhale', 'utilize', 'tangenesia', 'combat', 'fatigue', 'stress', 'depression']"
Tangerine,"['tangerine', 'hybrid', 'happy', 'uplifted', 'energetic', 'relaxed', 'creative', 'citrus', 'orange', 'sweet', 'tangerine', 'sativa', 'dominant', 'hybrid', '4th', 'generation', 'daughter', 'ch9', 'aroma', 'fruity', 'tangerine', 'aroma', 'accompanied', 'notes', 'mango', 'pineapple', 'indoor', 'outdoor', 'grows', 'expect', 'flowers', '7', '8', 'weeks']"
Tangerine-Dream,"['tangerine', 'dream', 'hybrid', 'happy', 'relaxed', 'euphoric', 'uplifted', 'energetic', 'citrus', 'orange', 'sweet', 'winner', '2010', 'cannabis', 'cup', 'created', 'illustrious', 'barney', 'farm', 'connoisseurs', 'tangerine', 'dream', 'hybrid', 'daughter', 'g13', 'afghani', 'neville', 'a5', 'haze', 'ability', 'knock', 'pain', 'increasing', 'energy', 'makes', 'tangerine', 'dream', 'special', 'tangerine', 'dream', 'leave', 'stuck', 'couch', 'handcrafted', 'meet', 'demands', 'working', 'medical', 'patients', 'uplifting', 'euphoric', 'provides', 'mental', 'clarity', 'deeply', 'relaxing', 'muscles', 'tangerine', 'dream', 'typically', 'flowers', '8', '10', 'weeks', 'features', 'citrusy', 'aroma']"
Tangerine-Haze,"['tangerine', 'haze', 'hybrid', 'talkative', 'uplifted', 'energetic', 'euphoric', 'happy', 'citrus', 'orange', 'sweet', 'tangerine', 'haze', 'sativa', 'dominant', 'hybrid', 'treasured', 'distinct', 'citrus', 'taste', 'clone', 'sativa', 'originated', 'netherlands', 'union', 'g13', 'haze', 'nyc', 'diesel', 'popularity', 'spread', 'canada', 'colorado', 'west', 'coast', 'zesty', 'tangerine', 'aroma', 'accented', 'floral', 'notes', 'hallmark', 'elevating', 'stress', 'relieving', 'cherished', 'patients', 'recreational', 'consumers', 'tangerine', 'haze', 'choice', 'daytime', 'enjoyment', 'stimulate', 'mind', 'allow', 'functionality', 'growers', 'recommend', '65', 'day', 'flowering', 'period', 'tangerine', 'haze', 'citrus', 'peaks']"
Tangerine-Kush,"['tangerine', 'kush', 'indica', 'relaxed', 'sleepy', 'happy', 'euphoric', 'hungry', 'citrus', 'orange', 'tropical', 'tangerine', 'kush', 'embodies', 'california', 'sunshine', 'cannabis', 'got', 'citrusy', 'halo', 'bright', 'orange', 'hairs', 'covering', 'indica', 'particularly', 'short', 'lasting', 'tangerine', 'kush', 'potent', 'quick', 'onset', 'providing', 'consumers', 'happy', 'body', 'heavy', 'sensation', 'great', 'looking', 'lazy', 'day', 'beach', 'tangerine', 'kush', 'felt', 'head', 'indicas', 'taste', 'consumers', 'feel', 'uplifted', 'energized', 'minutes', 'heavy', 'lazy', 'sensation', 'kicks', '-pron-', 'looking', 'help', 'relax', 'tangerine', 'kush', 'worth', 'try']"
Tangerine-Man,"['tangerine', 'man', 'sativa', 'euphoric', 'energetic', 'uplifted', 'hungry', 'happy', 'citrus', 'orange', 'pungent', 'leafs', 'snoop', 'comes', 'tangerine', 'man', 'sativa', 'dominant', 'hybrid', 'best', 'new', 'citrus', 'aroma', 'trichome', 'coated', 'expect', 'nice', 'pick', 'pairs', 'wonderfully', 'daytime', 'physical', 'activity']"
Tangerine-Power,"['tangerine', 'power', 'hybrid', 'happy', 'relaxed', 'tingly', 'sleepy', 'uplifted', 'citrus', 'orange', 'sweet', 'tangerine', 'power', 'hybrid', 'sin', 'city', 'agent', 'orange', 'blue', 'power', 'expect', 'tangerine', 'power', 'carries', 'unmistakable', 'citrus', 'aroma', 'inherited', 'agent', 'orange', 'parent', 'hybrid', 'takes', 'blue', 'power', 'paralyzing', 'euphoria', 'body', 'relaxation', 'trickles', 'mind', 'body']"
Tangerine-Sunrise,"['tangerine', 'sunrise', 'sativa', 'tingly', 'relaxed', 'aroused', 'happy', 'creative', 'citrus', 'woody', 'sage', 'tangerine', 'sunrise', 'easily', 'colorado', 'inc', 'popular', 'listed', 'best', 'marijuana', '2014', 'westerword', 'grown', 'popular', 'outstanding', 'aroma', 'described', 'freshly', 'squeezed', 'orange', 'juice', 'touch', 'haze', 'muskiness', 'tangerine', 'sunrise', 'shines', 'combustion', 'kind', 'body', 'light', 'mind', 'eliciting', 'clearheaded', 'mental', 'buzz', 'positive', 'euphoria', 'day', 'flower', 'deep', 'green', 'red', 'rusty', 'pistils', 'genetic', 'hawaiian', 'sunrise', 'crossed', 'tangenesia', 'ghiesel', 'amnesia', 'haze', 'x', 'tangerine', 'haze']"
Tangerine-Trainwreck-Haze,"['tangerine', 'trainwreck', 'haze', 'sativa', 'euphoric', 'aroused', 'uplifted', 'creative', 'energetic', 'sweet', 'citrus', 'orange', 'tangerine', 'trainwreck', 'haze', 'beautiful', 'cut', 'rare', 'dankness', 'created', 'crossing', 'tangerine', 'haze', 'nevil', 'wreck', 'tangerine', 'trainwreck', 'haze', 'expresses', 'bright', 'green', 'orange', 'knotted', 'red', 'hairs', 'explode', 'spicy', 'tropical', 'aromas', 'hold', 'touches', 'citrus', 'fuel', 'cracked', 'pepper', 'musk', 'tangerine', 'trainwreck', 'haze', 'requires', 'little', 'extra', 'time', 'known', 'fill', 'available', 'canopy', 'space', 'offering', 'generous', 'yield', 'attentive', 'gardener']"
Tangie,"['tangie', 'sativa', 'happy', 'uplifted', 'energetic', 'euphoric', 'relaxed', 'citrus', 'orange', 'sweet', 'tangie', 'fantastic', 'offering', 'dna', 'genetics', 'amsterdam', 'quickly', 'gained', 'popularity', 'home', 'spreading', 'remake', 'sorts', 'popular', 'version', 'tangerine', 'dream', 'sought', '1990s', 'genetics', 'cross', 'california', 'orange', 'skunk', 'hybrid', 'citrus', 'heritage', 'evident', 'refreshing', 'tangerine', 'aroma', 'plant', 'tangie', 'grows', 'best', 'outside', 'producing', 'sticky', 'provide', 'euphoric', 'relaxed']"
Tangie-Dream,"['tangie', 'dream', 'hybrid', 'tingly', 'creative', 'focused', 'uplifted', 'happy', 'citrus', 'sweet', 'orange', 'tangie', 'dream', 'sativa', 'dominant', 'hybrid', 'reeks', 'orange', 'peel', 'rock', 'candy', 'overall', 'sweetness', 'permeates', 'leaving', 'consumers', 'subtle', 'tartness', 'exhale', 'enjoy', 'tangie', 'dream', 'day', 'elevate', 'mood', 'stimulate', 'imagination', 'motivating', 'smaller', 'doses', 'tendency', 'insulate', 'consumer', 'whimsical', 'euphoria', 'continuous', 'use']"
Tangie-Ghost-Train,"['tangie', 'ghost', 'train', 'sativa', 'uplifted', 'happy', 'energetic', 'euphoric', 'focused', 'citrus', 'orange', 'pungent', 'tangie', 'ghost', 'train', 'wonderful', 'genetic', 'pairing', 'potent', 'familiar', 'cultivars', 'created', 'collaboration', 'rare', 'dankness', 'dna', 'genetics', 'little', 'chief', 'tangie', 'ghost', 'train', 'cross', 'dna', 'genetics', 'tangie', 'rare', 'dankness', 'ghost', 'train', 'haze', '1', 'expressing', 'bulbous', 'golf', 'ball', 'shaped', 'dense', 'structure', 'light', 'orange', 'hue', 'tangie', 'ghost', 'train', 'delicious', 'looks', 'trichome', 'covered', 'reek', 'cedar', 'candied', 'oranges', 'tangy', 'pungent', 'finish', 'sativa', 'dominant', 'perfect', 'overcoming', 'chronic', 'fatigue']"
Tangie-Sunrise,"['tangie', 'sunrise', 'hybrid', 'tingly', 'uplifted', 'euphoric', 'happy', 'relaxed', 'tangie', 'sunrise', 'palomar', 'craft', 'cannabis', 'tall', 'glass', 'freshly', 'squeezed', 'orange', 'juice', 'cannabis', 'form', 'sativa', 'dominant', 'hybrid', 'imbues', 'consumers', 'happy', 'uplifting', 'alongside', 'moderately', 'energetic', 'body', 'high', 'tangie', 'sunrise', 'mood', 'enhancing', 'ideal', 'consumers', 'looking', 'discard', 'stress', 'depression', 'fatigue', 'enjoying', 'seriously', 'citrus', 'driven', 'terpene', 'profile', 'cross', 'jack', 'herer', 'x', 'orange', 'crush', 'masterfully', 'captures', 'positive', 'uplifting', 'tones']"
Tangier-Chilly,"['tangier', 'chilly', 'hybrid', 'talkative', 'uplifted', 'creative', 'energetic', 'giggly', 'citrus', 'orange', 'pine', 'tangier', 'chilly', 'mr', 'mack', 'snacks', 'homage', 'chilly', 'mack', 'home', 'tangerine', 'blending', 'tangie', 'x', 'larry', 'og', 'x', 'pakistani', 'mr', 'mack', 'emphasizes', 'euphoric', 'kush', 'undertone', 'sweet', 'citrus', 'terpenes', 'buzz', 'happy', 'lighthearted', 'kind', 'body', 'mr', 'mack', 'swears', 'stress', 'relieving', 'anxiolytics', 'qualities', 'enjoy', 'tangier', 'chilly', 'indica', 'dominant', 'hybrid', 'day', 'enjoyable', 'functional', 'buzz']"
Tangilope,"['tangilope', 'sativa', 'happy', 'uplifted', 'energetic', 'talkative', 'creative', 'citrus', 'orange', 'tropical', 'tangilope', 'chocolatey', 'citrus', 'blend', 'tangie', 'chocolope', 'dna', 'genetics', 'best', 'sativas', 'best', 'known', 'intense', 'terpene', 'profile', 'exotic', 'cerebral', 'evoke', 'happiness', 'giggles', 'stimulate', 'creativity']"
Tango-Kush,"['tango', 'kush', 'hybrid', 'energetic', 'focused', 'uplifted', 'euphoric', 'happy', 'mango', 'sweet', 'citrus', 'tango', 'kush', 'potbox', 'mango', 'kush', 'cross', 'offering', 'sweet', 'funkiness', 'droves', 'random', 'forest', 'aromas', 'mixed', 'tart', 'fruit', 'complex', 'pleasant', 'traditional', 'kush', 'fashion', 'tango', 'kush', 'mid', 'level', 'cerebral', 'introspection', 'alongside', 'easy', 'body', 'remains', 'functional', 'small', 'medium', 'doses', 'leans', 'deep', 'relaxation', 'heavy', 'use']"
Tardis,"['tardis', 'sativa', 'talkative', 'creative', 'euphoric', 'focused', 'aroused', 'sweet', 'diesel', 'spicy', 'herbal', 'tardis', 'tardis', 'sativa', 'dominant', 'far', 'cerebral', 'appropriating', 'title', 'dr', 'famous', 'phone', 'booth', 'tardis', 'cross', 'oregon', 'diesel', 'trainwreck', 'heady', 'pairing', 'lands', 'eyes', 'saddling', 'mind', 'euphoria', 'introspective', 'thoughts', 'attributes', 'tardis', 'strong', 'mood', 'enhancer', 'teasing', 'consumer', 'imagination', 'creativity', 'helping', 'abate', 'stress', 'respect', 'potency', 'reported', 'reach', 'upwards', '26', 'thc']"
Tembo-Kush,"['tembo', 'kush', 'hybrid', 'happy', 'euphoric', 'creative', 'relaxed', 'focused', 'sweet', 'berry', 'earthy', 'tembo', 'kush', 'second', 'signature', 'series', 'pasco', 'indoor', 'hydroponic', 'farm', 'washington', 'sativa', 'dominant', 'hybrid', 'genetics', 'elephant', 'durban', 'poison', 'og', 'kush', 'derived', 'swahili', 'word', 'elephant', 'tembo', 'kush', 'influenced', 'elephant', 'parent', 'mammoth', 'sized', 'yields', 'thc', 'content', 'durban', 'poison', 'african', 'sativa', 'known', 'sweet', 'aroma', 'high', 'flying', 'cerebral', 'euphoria', 'functional', 'feeling', 'productive', 'focused', 'creative', 'og', 'kush', 'famous', 'west', 'coast', 'breeders', 'stress', 'crushing', 'euphoria', 'lends', 'tembo', 'kush', 'dreamy', 'happy', 'bad', 'moods', 'bay', 'tembo', 'kush', 'potent', 'thc', 'content', 'pass', '22', '5', 'allows', 'degree', 'mental', 'clarity', 'enjoyed', 'time', 'day']"
Terminator-Og,"['terminator', 'og', 'indica', 'relaxed', 'happy', 'sleepy', 'creative', 'euphoric', 'sweet', 'pine', 'rose', 'terminator', 'kush', 'known', 'terminator', 'og', 'heavy', 'indica', 'dominant', 'similar', 'death', 'star', 'brutus', 'medium', 'heavy', 'physical', 'creep', 'body', 'simultaneously', 'wrapping', 'consumer', 'mind', 'heady', 'energy', 'mental', 'stimulation', 'initially', 'holds', 'terminator', 'kush', 'upright', 'cerebral', 'buzz', 'second', 'physical', 'relaxation', 'sets', 'time']"
Tesla,"['tesla', 'hybrid', 'uplifted', 'relaxed', 'happy', 'euphoric', 'giggly', 'tropical', 'pepper', 'sweet', 'pacific', 'northwest', 'breeder', 'alphakronic', 'genes', 'tesla', 'combination', 'popular', 'west', 'coast', 'hybrids', 'harle', 'tsu', 'gobstopper', 'akg', 'new', 'high', 'cbd', 'line', 'genetics', 'tesla', 'carries', 'fruitiest', 'terpene', 'profile', 'found', 'high', 'cbd', 'date', 'smells', 'raspberry', 'grape', 'blueberry', 'jasmine', 'phenotypes', '1', '3', 'thc', 'makes', 'good', 'choice', 'treating', 'certain', 'symptoms', 'medical', 'conditions', 'patients', 'tolerate', 'psychoactive', 'cannabis']"
Tesla-Tower,"['tesla', 'tower', 'sativa', 'tingly', 'uplifted', 'relaxed', 'creative', 'energetic', 'pepper', 'sweet', 'berry', 'cross', 'lazy', 'bee', 'garden', 'favorite', 'sativa', 'hybrids', 'tesla', 'tower', 'robust', 'cerebral', 'house', 'cross', 'creative', 'attributes', 'white', 'fire', 'og', 'uplifting', 'energetic', 'high', 'snowcap', 'creating', 'upbeat', 'buzz', 'stimulating', 'motivating', 'helpful', 'companion', 'getting', 'chores', 'going', 'adventure', 'tesla', 'tower', 'runner', 'best', 'sativa', '2017', 'dope', 'cup']"
Thai,"['thai', 'sativa', 'happy', 'relaxed', 'focused', 'uplifted', 'energetic', 'earthy', 'flowery', 'sweet', 'thai', 'cannabis', 'variety', 'grows', 'natively', 'thailand', 'brought', 'u', 's', '70s', '80s', 'pure', 'sativa', 'landrace', 'called', 'thai', 'sticks', 'way', 'traditionally', 'dried', 'tied', 'long', 'sticks', 'original', 'thai', 'variety', 'given', 'rise', 'commonly', 'market', 'today', 'voodoo', 'juicy', 'fruit', 'classic', 'haze', 'thai', 'induces', 'powerful', 'comfortable', 'distinct', 'fruity', 'citrus', 'aroma', 'challenge', 'growers', 'outside', 'tropical', 'climates', 'greenhouse', 'gardens', 'grow', 'possible', 'experts', 'patient', 'thai', 'long', 'growth', 'cycle', 'slow', 'flowering']"
Thai-Girl,"['thai', 'girl', 'hybrid', 'euphoric', 'relaxed', 'energetic', 'focused', 'tingly', 'tropical', 'sweet', 'citrus', 'thai', 'girl', 'result', 'found', 'gold', 'king', 'thai', 'stick', 'crossed', 'tres', 'dawg', 'sativa', 'dominant', 'hybrid', 'cultivated', 'late', '70', 'spread', 'euphoric', 'stimulation', 'native', 'southeast', 'asian', 'herb', 'cannabis', 'world', 'enjoy', 'tropical', 'sunshine', 'encourages', 'physical', 'activity', 'overstimulation']"
Thai-Haze,"['thai', 'haze', 'sativa', 'creative', 'energetic', 'happy', 'aroused', 'euphoric', 'pine', 'pepper', 'sweet', 'thai', 'haze', 'guessed', 'cross', 'thai', 'haze', 'creates', 'creative', 'euphoric', 'head', 'based', 'high', 'sativas', 'takes', 'longer', 'flower', 'require', 'experience', 'grow', 'fickle', 'space', 'concern', 'plants', 'grow', 'large', 'tall', 'feet', 'yellow', 'green', 'flowers', 'sticky', 'spicy', 'skunky', 'scent', 'haze', 'lovers', 'recognize', 'taste', 'includes', 'earthy', 'sweetness', 'telling', 'thai', 'genetics', 'slow', 'come', 'careful', 'psychedelic', 'haze', 'brain', 'definitely', 'possible']"
Thai-Lights,"['thai', 'lights', 'hybrid', 'uplifted', 'happy', 'euphoric', 'relaxed', 'energetic', 'earthy', 'spicy', 'herbal', 'pine', 'thai', 'lights', 'sativa', 'dominant', 'blend', 'crosses', 'uplifting', 'thai', 'sativas', 'stable', 'robust', 'northern', 'lights', 'originally', 'dr', 'atomic', 'thai', 'lights', 'dynamic', 'hybrid', 'boasts', 'sweet', 'earthy', 'cerebral', 'buzz', 'accommodates', 'social', 'outings', 'energetic', 'rush', 'happiness', 'medical', 'patients', 'applaud', 'thai', 'lights', 'ability', 'combat', 'depression', 'minimize', 'debilitating', 'migraine', 'headaches']"
Thai-Tanic,"['thai', 'tanic', 'sativa', 'energetic', 'uplifted', 'happy', 'focused', 'euphoric', 'sweet', 'earthy', 'woody', 'thai', 'tanic', 'compact', 'sativa', 'variety', 'classic', 'chocolate', 'thai', 'taste', 'skunk', 'father', 'dominates', 'fast', 'maturation', 'high', 'yields', 'general', 'vigor', 'dutch', 'bank', 'flying', 'dutchmen', 'heavy', 'resin', 'producer', 'extremely', 'potent', 'trippy', 'cerebral', 'high']"
